id,created_time,creator_id,modified_time,modifier_id,is_deleted,job_id,job_name,job_group,func_name,func_args,func_kwargs,run_info,run_except_info,run_status,run_time
56,2024-01-07 08:20:30.051092,0,2024-01-07 08:20:30.051092,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-07 08:20:30
57,2024-01-07 17:10:30.023749,0,2024-01-07 17:10:30.023749,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-07 17:10:30
58,2024-01-07 18:10:30.025374,0,2024-01-07 18:10:30.025374,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-07 18:10:30
59,2024-01-07 18:20:30.082451,0,2024-01-07 18:20:30.082451,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-07 18:20:30
60,2024-01-08 02:10:30.148972,0,2024-01-08 02:10:30.148972,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 02:10:30
61,2024-01-08 02:20:30.091984,0,2024-01-08 02:20:30.091984,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 02:20:30
62,2024-01-08 03:10:30.101327,0,2024-01-08 03:10:30.101327,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 03:10:30
63,2024-01-08 03:20:30.156066,0,2024-01-08 03:20:30.156066,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 03:20:30
64,2024-01-08 04:10:30.098898,0,2024-01-08 04:10:30.098898,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 04:10:30
65,2024-01-08 04:20:30.013281,0,2024-01-08 04:20:30.013281,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 04:20:30
66,2024-01-08 05:10:30.165634,0,2024-01-08 05:10:30.165634,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 05:10:30
67,2024-01-08 05:20:30.351761,0,2024-01-08 05:20:30.351761,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 05:20:30
68,2024-01-08 06:10:30.007434,0,2024-01-08 06:10:30.007434,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 06:10:30
69,2024-01-08 06:20:30.016423,0,2024-01-08 06:20:30.016423,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 06:20:30
70,2024-01-08 07:10:30.017005,0,2024-01-08 07:10:30.017005,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 07:10:30
71,2024-01-08 07:20:30.020510,0,2024-01-08 07:20:30.020510,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 07:20:30
72,2024-01-08 08:10:30.012874,0,2024-01-08 08:10:30.012874,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 08:10:30
73,2024-01-08 08:20:30.111600,0,2024-01-08 08:20:30.111600,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 08:20:30
74,2024-01-08 09:10:30.012665,0,2024-01-08 09:10:30.012665,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 09:10:30
75,2024-01-08 09:20:30.102357,0,2024-01-08 09:20:30.102357,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 09:20:30
76,2024-01-08 10:10:30.025160,0,2024-01-08 10:10:30.025160,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 10:10:30
77,2024-01-08 10:20:30.034169,0,2024-01-08 10:20:30.034169,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 10:20:30
78,2024-01-08 11:10:30.038877,0,2024-01-08 11:10:30.038877,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 11:10:30
79,2024-01-08 11:20:30.107648,0,2024-01-08 11:20:30.107648,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 11:20:30
80,2024-01-08 12:10:30.123661,0,2024-01-08 12:10:30.123661,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 12:10:30
81,2024-01-08 12:20:30.106035,0,2024-01-08 12:20:30.106035,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 12:20:30
82,2024-01-08 13:10:30.092996,0,2024-01-08 13:10:30.092996,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 13:10:30
83,2024-01-08 13:20:30.126999,0,2024-01-08 13:20:30.126999,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 13:20:30
84,2024-01-08 14:10:30.031102,0,2024-01-08 14:10:30.031102,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 14:10:30
85,2024-01-08 14:20:30.008152,0,2024-01-08 14:20:30.008152,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 14:20:30
86,2024-01-08 15:10:30.044409,0,2024-01-08 15:10:30.044409,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 15:10:30
87,2024-01-08 15:20:30.026074,0,2024-01-08 15:20:30.026074,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 15:20:30
88,2024-01-08 16:10:30.053991,0,2024-01-08 16:10:30.053991,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 16:10:30
89,2024-01-08 16:20:30.155729,0,2024-01-08 16:20:30.155729,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 16:20:30
90,2024-01-08 17:10:30.109783,0,2024-01-08 17:10:30.109783,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-08 17:10:30
91,2024-01-08 17:20:30.091625,0,2024-01-08 17:20:30.091625,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-08 17:20:30
92,2024-01-09 13:10:30.057290,0,2024-01-09 13:10:30.057290,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-09 13:10:30
93,2024-01-09 13:20:30.012542,0,2024-01-09 13:20:30.012542,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-09 13:20:30
94,2024-01-09 14:10:30.076273,0,2024-01-09 14:10:30.076273,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-09 14:10:30
95,2024-01-09 14:20:30.015443,0,2024-01-09 14:20:30.015443,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-09 14:20:30
96,2024-01-09 15:10:30.024868,0,2024-01-09 15:10:30.024868,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-09 15:10:30
97,2024-01-09 15:20:30.029597,0,2024-01-09 15:20:30.029597,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-09 15:20:30
98,2024-01-09 16:10:30.017737,0,2024-01-09 16:10:30.017737,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-09 16:10:30
99,2024-01-09 16:20:30.013989,0,2024-01-09 16:20:30.013989,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-09 16:20:30
100,2024-01-09 17:10:30.063569,0,2024-01-09 17:10:30.063569,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-09 17:10:30
101,2024-01-09 17:20:30.100083,0,2024-01-09 17:20:30.100083,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-09 17:20:30
102,2024-01-09 18:10:30.167207,0,2024-01-09 18:10:30.167207,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-09 18:10:30
103,2024-01-09 18:20:30.082692,0,2024-01-09 18:20:30.082692,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-09 18:20:30
104,2024-01-09 19:10:30.118224,0,2024-01-09 19:10:30.118224,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-09 19:10:30
105,2024-01-10 11:10:30.119910,0,2024-01-10 11:10:30.119910,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-10 11:10:30
106,2024-01-10 11:20:30.030641,0,2024-01-10 11:20:30.030641,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-10 11:20:30
107,2024-01-10 12:10:30.022170,0,2024-01-10 12:10:30.022170,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-10 12:10:30
108,2024-01-10 12:20:30.017478,0,2024-01-10 12:20:30.017478,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-10 12:20:30
109,2024-01-10 13:10:30.120220,0,2024-01-10 13:10:30.120220,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-10 13:10:30
110,2024-01-10 13:20:30.018608,0,2024-01-10 13:20:30.018608,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-10 13:20:30
111,2024-01-10 14:10:30.091772,0,2024-01-10 14:10:30.091772,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-10 14:10:30
112,2024-01-10 14:20:30.170641,0,2024-01-10 14:20:30.170641,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-10 14:20:30
113,2024-01-10 15:10:30.160385,0,2024-01-10 15:10:30.160385,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-10 15:10:30
114,2024-01-10 15:20:30.174740,0,2024-01-10 15:20:30.174740,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-10 15:20:30
115,2024-01-10 16:10:30.011684,0,2024-01-10 16:10:30.011684,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-10 16:10:30
116,2024-01-10 16:20:30.023888,0,2024-01-10 16:20:30.023888,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-10 16:20:30
117,2024-01-11 13:10:30.083484,0,2024-01-11 13:10:30.083484,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-11 13:10:30
118,2024-01-11 13:20:30.131876,0,2024-01-11 13:20:30.131876,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-11 13:20:30
119,2024-01-11 14:10:30.084549,0,2024-01-11 14:10:30.084549,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-11 14:10:30
120,2024-01-11 14:20:30.098267,0,2024-01-11 14:20:30.098267,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-11 14:20:30
121,2024-01-11 15:10:30.095276,0,2024-01-11 15:10:30.095276,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-11 15:10:30
122,2024-01-11 15:20:30.009574,0,2024-01-11 15:20:30.009574,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-11 15:20:30
123,2024-01-11 16:10:30.081187,0,2024-01-11 16:10:30.081187,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-11 16:10:30
124,2024-01-11 17:10:30.031547,0,2024-01-11 17:10:30.031547,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-11 17:10:30
125,2024-01-11 17:20:30.013010,0,2024-01-11 17:20:30.013010,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-11 17:20:30
126,2024-01-12 11:10:30.016566,0,2024-01-12 11:10:30.016566,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-12 11:10:30
127,2024-01-12 11:20:30.037684,0,2024-01-12 11:20:30.037684,0,0,demo,测试,setInterval,tasks.demo_task.demo,['hello world'],"{'a':'1','b':'2'}","----------------task_id:demo,args:('hello world',),kwargs:{'a': '1', 'b': '2'}----------------",,1,2024-01-12 11:20:30
128,2024-01-12 12:10:30.077352,0,2024-01-12 12:10:30.077352,0,0,demo2,测试2,setInterval,tasks.demo_task.demo,['哈哈哈哈哈'],{'key':'你好吗'},"----------------task_id:demo2,args:('哈哈哈哈哈',),kwargs:{'key': '你好吗'}----------------",,1,2024-01-12 12:10:30
